goods_code,frequency,code_length
236546859,13,9
237689788,13,9
238088782,13,9
240087879,13,9
236546859,13,9
234942306,13,9
238667153,13,9
240242354,13,9
234966604,13,9
238118728,13,9
240782345,13,9
236918138,13,9
231238738,13,9
239003108,13,9
238674947,13,9
231238642,13,9
240804460,13,9
239004704,13,9
238979361,13,9
240192734,13,9
236912402,13,9
239091973,13,9
238222171,13,9
239838682,13,9
240043922,13,9
237479979,13,9
236918144,13,9
240253628,13,9
238349141,13,9
240040985,13,9
238721744,13,9
238835500,13,9
236074811,13,9
238667173,13,9
237502790,13,9
239001450,13,9
239831378,13,9
236995169,13,9
238287801,13,9
237141935,13,9
239001517,13,9
239482916,13,9
236546882,13,9
239091973,13,9
237845510,13,9
238493555,13,9
236995169,13,9
238349162,13,9
239774080,13,9
239901234,13,9
240860354,13,9
238601321,13,9
237626283,13,9
240376713,13,9
239976876,13,9
238708391,13,9
239877654,13,9
238012306,13,9
237955079,12,9
231294767,12,9
240192741,12,9
236822134,12,9
237816519,12,9
240040992,12,9
232503886,12,9
238954041,12,9
234966532,12,9
239091987,12,9
238277548,12,9
240772323,12,9
237699496,12,9
239903542,12,9
240253625,12,9
233119255,12,9
238910400,12,9
234676730,12,9
238095368,12,9
237013495,12,9
238222160,12,9
236669442,12,9
238569386,12,9
239835933,12,9
238094690,12,9
237806881,12,9
239831373,12,9
238954038,12,9
238667149,12,9
237534344,12,9
239214775,12,9
237948315,12,9
239091961,12,9
238905797,12,9
238098500,12,9
239877686,12,9
239837101,12,9
234966519,12,9
240041027,12,9
238723494,12,9
240951279,12,9
239835934,12,9
236665680,12,9
241018013,12,9
240342758,12,9
236951911,12,9
239780059,12,9
230650111,12,9
239091959,12,9
240108852,12,9
236999135,12,9
237874685,12,9
240040996,12,9
237357320,12,9
240040976,12,9
238868390,12,9
240782334,12,9
239091947,12,9
240041030,12,9
238349168,12,9
239091947,12,9
240041016,12,9
238204352,12,9
240170525,12,9
240041029,12,9
237371145,12,9
240192737,12,9
240382076,12,9
234427268,12,9
237688992,12,9
238667176,12,9
239091972,12,9
238069705,12,9
239996053,11,9
240243877,11,9
240041023,11,9
240041006,11,9
237781323,11,9
239001521,11,9
238667174,11,9
237543693,11,9
239903598,11,9
238512494,11,9
234007066,11,9
238960415,11,9
239092005,11,9
238940042,11,9
240286829,11,9
238178619,11,9
239001453,11,9
238286399,11,9
237688985,11,9
238758383,11,9
238667176,11,9
237610185,11,9
237764639,11,9
240043565,11,9
237357210,11,9
239092006,11,9
238079690,11,9
240040970,11,9
239001432,11,9
239091972,11,9
231895973,11,9
236074809,11,9
239841885,11,9
237750859,11,9
240192731,11,9
236705535,11,9
239091979,11,9
239837101,11,9
231958696,11,9
230419925,11,9
238349144,11,9
240782342,11,9
240056441,11,9
238905793,11,9
238708392,11,9
240192739,11,9
239877661,11,9
238524438,11,9
240243882,11,9
238642181,11,9
233725389,11,9
239001510,11,9
236691433,11,9
237781300,11,9
240361483,11,9
237189828,11,9
232536670,11,9
237627618,11,9
240243956,11,9
240376595,11,9
239254660,11,9
238282615,11,9
240087882,11,9
238094424,11,9
236604724,11,9
235802336,11,9
232536615,11,9
236936638,11,9
239001489,11,9
237502790,11,9
238731697,11,9
238678455,11,9
240382423,11,9
237758885,11,9
239001417,11,9
238349181,11,9
240277319,11,9
239877662,11,9
237948443,11,9
240056441,11,9
239091967,11,9
234584005,10,9
239091992,10,9
240235491,10,9
240243954,10,9
238011763,10,9
236904866,10,9
239903458,10,9
236918146,10,9
231958642,10,9
239983033,10,9
240376614,10,9
240782337,10,9
239091970,10,9
240243954,10,9
239004693,10,9
237037781,10,9
234966630,10,9
237220253,10,9
237687807,10,9
239001531,10,9
237699525,10,9
240342741,10,9
239003117,10,9
238348097,10,9
234374863,10,9
240044093,10,9
240192736,10,9
238905794,10,9
238710377,10,9
236917909,10,9
238805527,10,9
239180669,10,9
238349146,10,9
233598912,10,9
239143096,10,9
238731701,10,9
239842076,10,9
238315776,10,9
240376591,10,9
236822062,10,9
238382848,10,9
233939851,10,9
238723498,10,9
240041023,10,9
238349185,10,9
239001439,10,9
238704819,10,9
236088594,10,9
239005343,10,9
238947858,10,9
239817713,10,9
238711971,10,9
239831347,10,9
237781329,10,9
240087889,10,9
240860358,10,9
237627619,10,9
234966528,10,9
236822064,10,9
238573544,10,9
238868203,10,9
237598048,10,9
238318144,10,9
237288136,10,9
233004718,10,9
239091983,10,9
233166330,10,9
239091988,10,9
240376720,10,9
239508667,10,9
239482913,10,9
239102737,10,9
236844275,10,9
239831348,10,9
239003121,10,9
231958739,10,9
238222166,10,9
240041029,10,9
240129712,10,9
236670968,10,9
236410837,10,9
237457818,10,9
240087879,10,9
231827805,10,9
236758732,10,9
233988309,10,9
237688975,10,9
237609204,10,9
231294765,10,9
239091954,10,9
240804454,10,9
14081,9,5
238286400,9,9
240342745,9,9
239902337,9,9
238349142,9,9
233988308,9,9
237870450,9,9
238703840,9,9
239096619,9,9
238336303,9,9
238271148,9,9
240243886,9,9
238983522,9,9
238349147,9,9
239092003,9,9
238653727,9,9
237534328,9,9
238681162,9,9
238149135,9,9
231035080,9,9
239774084,9,9
240361435,9,9
239901263,9,9
239841727,9,9
240081001,9,9
237816484,9,9
239092001,9,9
239001414,9,9
234240494,9,9
237625870,9,9
240393791,9,9
237553506,9,9
238919087,9,9
233119244,9,9
238868390,9,9
240172087,9,9
240342747,9,9
237170011,9,9
236691437,9,9
239976875,9,9
237447310,9,9
240363232,9,9
232536615,9,9
239073972,9,9
240860352,9,9
238925839,9,9
239993670,9,9
239003068,9,9
239091948,9,9
239096602,9,9
238204347,9,9
237775244,9,9
234966532,9,9
240056442,9,9
235802307,9,9
238150003,9,9
240862616,9,9
240272176,9,9
238222167,9,9
239948152,9,9
232503899,9,9
240087888,9,9
238835462,9,9
239001414,9,9
240041016,9,9
239091986,9,9
240170540,9,9
240293620,9,9
234966621,9,9
239753453,9,9
231238741,9,9
239842094,9,9
234241406,9,9
238580892,9,9
238705792,9,9
239091970,9,9
238381262,9,9
238718135,9,9
237845516,9,9
240072647,9,9
240242359,9,9
238286393,9,9
240087880,9,9
238970344,9,9
240854677,9,9
232503914,9,9
237013495,9,9
239903534,9,9
238382853,9,9
238021208,9,9
240161521,9,9
239091958,9,9
238088782,9,9
239091981,9,9
237202445,9,9
239091967,9,9
239995961,9,9
239854854,9,9
238868176,9,9
231238740,9,9
238226101,9,9
240087884,9,9
239790708,9,9
237719183,9,9
239955014,9,9
237758865,9,9
237845513,9,9
240242854,9,9
238990358,9,9
239901695,9,9
239091950,9,9
236999135,9,9
239852018,9,9
234863573,9,9
238370659,9,9
238758095,9,9
236799847,9,9
238731701,9,9
238349185,9,9
240243873,9,9
239143096,9,9
SKUCODE41,8,9
239842092,8,9
231907812,8,9
SKUCODE42,8,9
234966517,8,9
237189849,8,9
240041019,8,9
238258119,8,9
238666321,8,9
239993670,8,9
238036798,8,9
238759633,8,9
238493555,8,9
236951925,8,9
234299342,8,9
238940040,8,9
240041001,8,9
238051211,8,9
238493560,8,9
237781300,8,9
239482914,8,9
238271130,8,9
237037765,8,9
232484427,8,9
239012993,8,9
236008891,8,9
233964752,8,9
238066968,8,9
237775760,8,9
236912406,8,9
SKUCODE40,8,9
238222161,8,9
239001401,8,9
240361491,8,9
236053876,8,9
238708400,8,9
238512626,8,9
239004693,8,9
239396792,8,9
238520871,8,9
238708404,8,9
234966605,8,9
236669440,8,9
237902109,8,9
234427268,8,9
236822116,8,9
238910399,8,9
239903578,8,9
239001398,8,9
237796049,8,9
234966531,8,9
237893061,8,9
238005351,8,9
239482856,8,9
238547749,8,9
240108577,8,9
234676735,8,9
234663826,8,9
237762427,8,9
238833501,8,9
232484321,8,9
239851689,8,9
240043563,8,9
233988308,8,9
240361538,8,9
239091960,8,9
240342750,8,9
234240477,8,9
238607360,8,9
231796409,8,9
239958879,8,9
240192729,8,9
238601320,8,9
240242338,8,9
237457770,8,9
237192607,8,9
238906326,8,9
240087887,8,9
240040998,8,9
232503913,8,9
240243876,8,9
239091946,8,9
240041019,8,9
236866518,8,9
238589622,8,9
231958689,8,9
238905803,8,9
238054116,8,9
238036800,8,9
234427272,8,9
238703838,8,9
238704343,8,9
235856631,8,9
240192728,8,9
239780060,8,9
231955525,8,9
237615275,8,9
237993874,8,9
238084890,8,9
233119241,8,9
238282613,8,9
238954037,8,9
238098500,8,9
238949557,8,9
239546660,8,9
236999162,8,9
238336303,8,9
238548320,8,9
239877686,8,9
238036798,8,9
237758877,8,9
240361455,8,9
237758877,8,9
235802346,8,9
238258119,8,9
239838682,8,9
238187493,8,9
240346948,8,9
239003109,8,9
234966533,8,9
238774172,8,9
240854771,8,9
239091984,8,9
234964330,8,9
238983527,8,9
236410887,8,9
238054341,8,9
231946378,8,9
240265316,8,9
239991684,8,9
238782727,8,9
237457770,8,9
238222160,8,9
237457813,8,9
238774173,8,9
236844277,8,9
238667154,8,9
237614295,8,9
238642180,8,9
230419925,8,9
240087887,8,9
239739729,8,9
240192729,8,9
238349174,8,9
240187333,8,9
239091965,8,9
239773255,8,9
239941157,8,9
240108572,8,9
237758889,8,9
240361566,8,9
238928183,8,9
239091945,8,9
237367449,8,9
240040994,8,9
238584291,7,9
240393780,7,9
239482907,7,9
240242355,7,9
239976877,7,9
240076676,7,9
239841886,7,9
234045092,7,9
239119352,7,9
237715930,7,9
237746989,7,9
240286829,7,9
230497033,7,9
234241376,7,9
237997640,7,9
238905818,7,9
238299020,7,9
240875727,7,9
237080786,7,9
240045628,7,9
234241376,7,9
238071171,7,9
238011718,7,9
237845520,7,9
236546880,7,9
237874685,7,9
240772323,7,9
237781337,7,9
237627616,7,9
236578652,7,9
236604729,7,9
240860361,7,9
238580890,7,9
231083317,7,9
238497927,7,9
236484455,7,9
237013568,7,9
237126896,7,9
239001445,7,9
238971267,7,9
240242360,7,9
237699529,7,9
238512620,7,9
239985538,7,9
238061678,7,9
238382597,7,9
237447279,7,9
240076678,7,9
237085179,7,9
236917974,7,9
240343091,7,9
240343082,7,9
240222696,7,9
238805528,7,9
239482914,7,9
232503893,7,9
237359255,7,9
240286828,7,9
238905789,7,9
240056442,7,9
236938427,7,9
236917932,7,9
240108850,7,9
240108852,7,9
238482054,7,9
238653720,7,9
238711972,7,9
239877681,7,9
238945470,7,9
238708392,7,9
238704361,7,9
240342741,7,9
238187492,7,9
239013268,7,9
237816540,7,9
240572743,7,9
238368886,7,9
237230087,7,9
236951915,7,9
236546861,7,9
238521762,7,9
240315375,7,9
238482054,7,9
239842098,7,9
240782338,7,9
238667172,7,9
239894497,7,9
238056347,7,9
236758732,7,9
240108870,7,9
238282619,7,9
238298495,7,9
239831693,7,9
240108900,7,9
240343085,7,9
239852018,7,9
237094335,7,9
240108576,7,9
240039434,7,9
240243883,7,9
238512494,7,9
235876602,7,9
232272852,7,9
237761611,7,9
236691442,7,9
237699496,7,9
239807922,7,9
240361517,7,9
240863754,7,9
236904868,7,9
240108575,7,9
238926048,7,9
240253629,7,9
239753452,7,9
239466661,7,9
237553493,7,9
238991289,7,9
233940309,7,9
237893060,7,9
240040998,7,9
238677815,7,9
240108572,7,9
237197820,7,9
234966517,7,9
237758882,7,9
238596438,7,9
238348099,7,9
234427274,7,9
238422403,7,9
240382076,7,9
240054665,7,9
236994284,7,9
238937582,7,9
240376600,7,9
239091955,7,9
238524149,7,9
238422391,7,9
239991691,7,9
238508811,7,9
238086341,7,9
239001510,7,9
231238626,7,9
236288527,7,9
239743870,7,9
236822050,7,9
240170539,7,9
240361566,7,9
233054885,7,9
239903725,7,9
237623671,7,9
237189841,7,9
239780067,7,9
240192739,7,9
240192735,7,9
238910455,7,9
236917933,7,9
237962735,7,9
234966528,7,9
240782334,7,9
239774075,7,9
239859336,7,9
237948443,7,9
237037769,7,9
231666132,7,9
237808639,7,9
238054129,7,9
234966624,7,9
240124044,7,9
235622681,7,9
239794665,7,9
240045628,7,9
237948315,7,9
236918137,7,9
237893073,7,9
236951923,7,9
238835462,7,9
240192730,7,9
238204347,7,9
238758097,7,9
238718136,7,9
238667164,7,9
238940038,7,9
239903598,7,9
234966621,7,9
232503880,7,9
240386660,7,9
239092000,7,9
239001396,7,9
238349174,7,9
238120115,7,9
238572493,7,9
239784964,7,9
239774089,7,9
238905798,7,9
236308331,7,9
238303377,7,9
234966617,7,9
233119255,6,9
235966175,6,9
238286399,6,9
240186265,6,9
237406864,6,9
238242294,6,9
238677672,6,9
234090886,6,9
233940303,6,9
240000493,6,9
234966620,6,9
238204328,6,9
238607369,6,9
238349141,6,9
237808674,6,9
237189828,6,9
236853327,6,9
238187494,6,9
238893420,6,9
239780064,6,9
240043582,6,9
238868052,6,9
240000490,6,9
234403008,6,9
237228776,6,9
234558646,6,9
237493776,6,9
238079607,6,9
238614137,6,9
237219467,6,9
239001516,6,9
235622693,6,9
238422403,6,9
238982660,6,9
236053892,6,9
237357212,6,9
238667163,6,9
240624648,6,9
237443571,6,9
237553489,6,9
238723783,6,9
238940039,6,9
238990366,6,9
238349187,6,9
237816497,6,9
236546854,6,9
238666319,6,9
238905809,6,9
239903578,6,9
237859192,6,9
230728108,6,9
241018027,6,9
234863570,6,9
238833507,6,9
239903537,6,9
240376598,6,9
238520872,6,9
240361491,6,9
240243877,6,9
240361496,6,9
240105467,6,9
239472847,6,9
237288143,6,9
237013514,6,9
238286391,6,9
239827063,6,9
236822105,6,9
239001550,6,9
236845386,6,9
233728741,6,9
233016779,6,9
239466664,6,9
236921428,6,9
239143086,6,9
238939600,6,9
231238658,6,9
236556717,6,9
