ID,Nb_of_items,TOTAL_BASKET_VALUE,TOTAL_PRODUCTS,outlier_type
26967,1.0,3499.0,1.0,price
15358,4.0,3184.0,4.0,price
8755,2.0,3519.0,2.0,price
112076,6.0,5047.0,7.0,price
102586,2.0,2606.0,2.0,price
23229,2.0,5124.0,2.0,price
24128,2.0,2698.0,2.0,price
97197,6.0,5279.0,6.0,price
37017,2.0,2599.0,2.0,price
107913,3.0,3741.0,3.0,price
366,2.0,2999.0,2.0,price
43079,1.0,4349.0,1.0,price
87283,2.0,2679.0,2.0,price
108380,1.0,2699.0,1.0,price
70912,2.0,3270.0,2.0,price
59632,2.0,3319.0,2.0,price
70458,2.0,3139.0,2.0,price
13249,1.0,2699.0,1.0,price
90020,1.0,3399.0,1.0,price
39691,2.0,3148.0,2.0,price
29202,3.0,3439.0,3.0,price
36792,1.0,3799.0,1.0,price
22812,7.0,3484.0,7.0,price
22072,1.0,2659.0,1.0,price
56842,1.0,2599.0,1.0,price
21571,10.0,3242.0,25.0,price
7349,3.0,3058.0,5.0,price
84151,2.0,2718.0,2.0,price
52625,1.0,2699.0,1.0,price
93094,1.0,2599.0,1.0,price
45216,2.0,5798.0,2.0,price
61875,1.0,3798.0,2.0,price
85539,2.0,2798.0,2.0,price
92738,2.0,2948.0,2.0,price
113591,3.0,3079.0,3.0,price
29752,4.0,3168.0,8.0,price
23930,2.0,2999.0,2.0,price
29258,2.0,4065.0,2.0,price
61203,4.0,2590.0,4.0,price
6833,2.0,2899.0,2.0,price
62522,1.0,3299.0,1.0,price
73365,1.0,2599.0,1.0,price
43788,2.0,3025.0,2.0,price
73391,1.0,2599.0,1.0,price
92371,1.0,2599.0,1.0,price
29847,3.0,4947.0,3.0,price
97844,1.0,2595.0,1.0,price
99674,2.0,2878.0,2.0,price
40990,3.0,3197.0,3.0,price
80591,3.0,3097.0,3.0,price
83138,7.0,3061.0,9.0,price
60658,2.0,2616.0,2.0,price
105592,1.0,2999.0,1.0,price
2375,7.0,3096.0,8.0,price
17659,1.0,3299.0,1.0,price
65364,2.0,7297.0,3.0,price
66280,2.0,3098.0,2.0,price
78231,2.0,2606.0,2.0,price
12034,2.0,2998.0,2.0,price
25697,2.0,2748.0,2.0,price
18932,2.0,4939.0,2.0,price
83836,2.0,3010.0,2.0,price
8603,5.0,2870.0,5.0,price
95100,1.0,3710.0,2.0,price
100949,4.0,3495.0,5.0,price
37342,3.0,2599.0,3.0,price
30989,2.0,3019.0,2.0,price
106130,7.0,2993.0,7.0,price
106972,3.0,3109.0,3.0,price
92373,1.0,2589.0,1.0,price
101136,2.0,4259.0,2.0,price
58601,1.0,3299.0,1.0,price
63433,2.0,3379.0,2.0,price
53717,1.0,2699.0,1.0,price
21275,1.0,3299.0,1.0,price
83705,2.0,2898.0,2.0,price
38298,1.0,4599.0,1.0,price
90377,2.0,2606.0,2.0,price
55524,2.0,2811.0,3.0,price
85672,17.0,4739.0,23.0,price
33990,2.0,2806.0,2.0,price
86633,1.0,2599.0,1.0,price
2943,5.0,2923.0,6.0,price
33548,5.0,3191.0,5.0,price
70160,2.0,3339.0,2.0,price
81898,2.0,3064.0,2.0,price
9874,3.0,3659.0,3.0,price
10665,3.0,3214.0,3.0,price
59359,2.0,3098.0,2.0,price
81704,3.0,3664.0,3.0,price
81938,2.0,2606.0,2.0,price
24383,1.0,2649.0,1.0,price
24588,2.0,2639.0,2.0,price
90214,3.0,3264.0,3.0,price
92904,2.0,4854.0,2.0,price
56477,1.0,3999.0,1.0,price
10996,2.0,2799.0,2.0,price
80294,1.0,2599.0,1.0,price
87564,2.0,6143.0,5.0,price
44075,2.0,3497.0,3.0,price
88562,2.0,2679.0,2.0,price
13665,1.0,2798.0,2.0,price
20236,3.0,3497.0,3.0,price
33032,1.0,3149.0,2.0,price
13914,2.0,2816.0,2.0,price
109030,3.0,2668.0,3.0,price
59110,3.0,2667.0,3.0,price
91811,2.0,2617.0,2.0,price
113202,1.0,2599.0,1.0,price
66572,1.0,5499.0,1.0,price
101851,1.0,4999.0,1.0,price
14006,1.0,3499.0,1.0,price
42265,4.0,2864.0,4.0,price
30357,2.0,3124.0,2.0,price
8193,2.0,2799.0,2.0,price
113408,4.0,3903.0,5.0,price
8595,5.0,2687.0,6.0,price
34318,2.0,2720.0,2.0,price
88823,3.0,3093.0,3.0,price
32181,1.0,3499.0,1.0,price
60135,1.0,2758.0,2.0,price
6101,3.0,3398.0,3.0,price
61210,2.0,2606.0,2.0,price
40899,2.0,2999.0,2.0,price
1733,3.0,2796.0,4.0,price
106745,3.0,3691.0,3.0,price
39636,8.0,5830.0,9.0,price
30649,2.0,2634.0,2.0,price
100940,2.0,3038.0,2.0,price
20134,2.0,3519.0,2.0,price
33684,2.0,3198.0,2.0,price
81672,1.0,2599.0,1.0,price
77714,3.0,3014.0,3.0,price
66039,3.0,4012.0,3.0,price
108081,3.0,5163.0,3.0,price
74334,1.0,2899.0,1.0,price
28380,2.0,6819.0,2.0,price
62770,2.0,2679.0,2.0,price
106335,1.0,2889.0,1.0,price
10904,2.0,3198.0,2.0,price
83592,2.0,4198.0,4.0,price
17978,3.0,4041.0,3.0,price
70083,1.0,2699.0,1.0,price
15966,1.0,2798.0,2.0,price
105382,1.0,2898.0,2.0,price
87951,1.0,2899.0,1.0,price
22808,3.0,4139.0,3.0,price
59567,2.0,2606.0,2.0,price
23144,3.0,4296.0,4.0,price
74374,1.0,2999.0,1.0,price
109817,2.0,2620.0,2.0,price
101815,6.0,2808.0,10.0,price
38333,2.0,4397.0,3.0,price
83291,6.0,3069.0,7.0,price
41664,2.0,2744.0,2.0,price
96674,1.0,2998.0,2.0,price
7145,4.0,2644.0,8.0,price
46412,3.0,3598.0,3.0,price
4453,12.0,4524.0,14.0,price
41893,1.0,5299.0,1.0,price
61841,2.0,3439.0,2.0,price
7448,3.0,6548.0,3.0,price
85912,1.0,2599.0,1.0,price
47840,1.0,2599.0,1.0,price
71143,3.0,2667.0,3.0,price
61409,4.0,2775.0,4.0,price
85098,3.0,2847.0,3.0,price
88978,3.0,3253.0,3.0,price
33375,2.0,2799.0,2.0,price
90042,1.0,2599.0,1.0,price
104517,4.0,2946.0,6.0,price
33291,3.0,2745.0,3.0,price
49913,2.0,3398.0,4.0,price
4633,2.0,2649.0,2.0,price
2218,4.0,5497.0,4.0,price
37463,1.0,3999.0,1.0,price
14149,1.0,2799.0,1.0,price
84265,1.0,2599.0,1.0,price
72805,1.0,3099.0,1.0,price
49280,3.0,2758.0,6.0,price
73076,10.0,5529.0,12.0,price
33536,1.0,2999.0,1.0,price
57865,3.0,2783.0,3.0,price
8584,2.0,3199.0,2.0,price
82430,3.0,2597.0,3.0,price
2793,5.0,2828.0,5.0,price
84673,2.0,2610.0,2.0,price
71814,3.0,3747.0,3.0,price
85017,1.0,2599.0,1.0,price
39571,4.0,4958.0,4.0,price
13265,1.0,3299.0,1.0,price
38362,1.0,2999.0,1.0,price
22720,2.0,3197.0,3.0,price
43527,2.0,2999.0,2.0,price
41280,1.0,2999.0,1.0,price
10728,4.0,2654.0,4.0,price
88769,2.0,3039.0,2.0,price
12491,11.0,3677.0,11.0,price
73811,2.0,3348.0,2.0,price
114968,2.0,3499.0,2.0,price
34865,1.0,2799.0,1.0,price
33612,6.0,3217.0,7.0,price
75940,1.0,2799.0,1.0,price
78592,2.0,3268.0,2.0,price
58373,2.0,2606.0,2.0,price
18457,6.0,2988.0,8.0,price
83427,5.0,3075.0,5.0,price
64559,2.0,3639.0,2.0,price
60184,2.0,2610.0,2.0,price
55219,3.0,3027.0,3.0,price
113281,19.0,5769.0,36.0,price
68368,1.0,2639.0,1.0,price
43316,6.0,2601.0,8.0,price
98459,1.0,2999.0,1.0,price
104723,1.0,3149.0,1.0,price
61081,1.0,3098.0,1.0,price
18723,2.0,3098.0,2.0,price
55900,2.0,2606.0,2.0,price
69097,1.0,3199.0,1.0,price
50259,2.0,2848.0,2.0,price
55084,1.0,5499.0,1.0,price
39220,12.0,5585.0,17.0,price
77377,1.0,8499.0,1.0,price
90185,2.0,2679.0,2.0,price
40157,3.0,4939.0,3.0,price
38351,1.0,3499.0,1.0,price
2620,3.0,2975.0,3.0,price
81900,2.0,4877.0,3.0,price
97497,1.0,2799.0,1.0,price
45026,1.0,2599.0,1.0,price
81246,2.0,2603.0,2.0,price
64770,2.0,3124.0,2.0,price
65181,2.0,3124.0,2.0,price
484,2.0,3499.0,2.0,price
4687,2.0,3499.0,2.0,price
32410,2.0,4344.0,2.0,price
65678,1.0,2699.0,1.0,price
6100,3.0,2748.0,3.0,price
98604,3.0,3243.0,3.0,price
113653,4.0,4345.0,5.0,price
44011,2.0,3309.0,3.0,price
83578,10.0,4105.0,10.0,price
63435,2.0,2616.0,2.0,price
97948,4.0,3216.0,4.0,price
53992,1.0,2799.0,1.0,price
101407,1.0,2599.0,1.0,price
48312,1.0,2599.0,1.0,price
22473,1.0,3899.0,1.0,price
58906,2.0,4019.0,2.0,price
65246,2.0,3298.0,2.0,price
22223,2.0,2839.0,2.0,price
55682,2.0,2712.0,2.0,price
65730,2.0,3119.0,2.0,price
20762,1.0,3299.0,1.0,price
72847,1.0,2599.0,1.0,price
67905,4.0,2703.0,4.0,price
56289,2.0,2679.0,2.0,price
85598,1.0,2999.0,1.0,price
71686,1.0,2599.0,1.0,price
59610,3.0,4897.0,3.0,price
96073,2.0,2606.0,2.0,price
24231,1.0,2699.0,1.0,price
111413,1.0,2599.0,1.0,price
80257,2.0,2606.0,2.0,price
65736,1.0,3099.0,1.0,price
79987,1.0,3299.0,1.0,price
17457,2.0,3019.0,2.0,price
66056,1.0,2999.0,1.0,price
18220,1.0,2699.0,1.0,price
5267,3.0,2674.0,3.0,price
68329,2.0,2606.0,2.0,price
103489,4.0,2636.0,4.0,price
8915,2.0,2799.0,2.0,price
93458,5.0,3367.0,5.0,price
100391,1.0,3998.0,2.0,price
102297,2.0,2606.0,2.0,price
22694,2.0,2848.0,2.0,price
83567,1.0,4199.0,1.0,price
66444,1.0,3099.0,1.0,price
70657,2.0,2724.0,2.0,price
1648,2.0,2700.0,2.0,price
65069,2.0,3239.0,2.0,price
63210,3.0,4293.0,3.0,price
83035,2.0,3198.0,2.0,price
91433,3.0,3939.0,3.0,price
66121,1.0,2999.0,1.0,price
61,1.0,2999.0,1.0,price
41992,2.0,3412.0,2.0,price
89517,1.0,2599.0,1.0,price
61191,2.0,2610.0,2.0,price
74640,2.0,3128.0,2.0,price
56000,2.0,2598.0,2.0,price
92964,1.0,2599.0,1.0,price
63523,2.0,2596.0,4.0,price
100213,1.0,2999.0,1.0,price
92348,2.0,2610.0,2.0,price
64178,3.0,4139.0,3.0,price
104430,1.0,4999.0,1.0,price
22532,3.0,2764.0,3.0,price
58298,2.0,3199.0,2.0,price
60005,1.0,2599.0,1.0,price
29264,1.0,2849.0,1.0,price
7239,7.0,3044.0,7.0,price
18367,3.0,3723.0,4.0,price
106135,1.0,4499.0,1.0,price
105876,4.0,4001.0,5.0,price
88797,1.0,3799.0,1.0,price
95556,1.0,2595.0,1.0,price
50627,1.0,2699.0,1.0,price
200,7.0,6794.0,10.0,price
5397,4.0,4016.0,5.0,price
12715,1.0,9999.0,1.0,price
1824,3.0,2797.0,3.0,price
54955,2.0,2679.0,2.0,price
29745,2.0,2679.0,2.0,price
37974,2.0,2798.0,2.0,price
103571,1.0,3399.0,1.0,price
84207,2.0,3003.0,3.0,price
111208,6.0,3175.0,6.0,price
39804,2.0,3590.0,2.0,price
37915,2.0,3186.0,2.0,price
48177,1.0,3299.0,1.0,price
114605,2.0,2898.0,2.0,price
101037,5.0,2855.0,5.0,price
74637,3.0,4003.0,3.0,price
25975,2.0,6697.0,3.0,price
20669,2.0,3697.0,3.0,price
66485,3.0,2627.0,3.0,price
104050,3.0,3997.0,3.0,price
65817,1.0,2799.0,1.0,price
82339,4.0,6018.0,4.0,price
45172,3.0,2876.0,3.0,price
87503,2.0,2998.0,2.0,price
34530,1.0,4999.0,1.0,price
92619,2.0,3398.0,2.0,price
23115,1.0,2699.0,1.0,price
83462,3.0,2686.0,3.0,price
60616,2.0,2679.0,2.0,price
26088,2.0,2799.0,2.0,price
20667,1.0,4879.0,1.0,price
7196,2.0,2699.0,2.0,price
45209,3.0,3298.0,3.0,price
32209,4.0,3709.0,4.0,price
103707,1.0,2799.0,1.0,price
113153,2.0,2690.0,2.0,price
93260,3.0,3133.0,3.0,price
37686,2.0,2799.0,2.0,price
89994,1.0,2999.0,1.0,price
65564,6.0,3056.0,6.0,price
65332,1.0,5099.0,1.0,price
11927,1.0,3149.0,2.0,price
84951,1.0,3299.0,1.0,price
21250,3.0,3367.0,3.0,price
41088,1.0,3599.0,1.0,price
63067,3.0,3004.0,4.0,price
93641,3.0,2947.0,3.0,price
63794,2.0,3999.0,2.0,price
114012,10.0,2827.0,16.0,price
74199,3.0,2640.0,4.0,price
60498,1.0,2599.0,1.0,price
90130,1.0,2899.0,1.0,price
19330,2.0,2839.0,2.0,price
29613,21.0,3655.0,40.0,price
85678,1.0,2849.0,1.0,price
42397,1.0,3298.0,2.0,price
47553,3.0,5423.0,3.0,price
32802,1.0,3098.0,2.0,price
73250,2.0,3139.0,2.0,price
114979,6.0,4006.0,7.0,price
64099,2.0,3124.0,2.0,price
55879,1.0,2599.0,1.0,price
99154,2.0,3198.0,2.0,price
84017,2.0,2679.0,2.0,price
1101,2.0,3019.0,2.0,price
5687,2.0,2998.0,3.0,price
88667,10.0,2623.0,18.0,price
70173,1.0,2599.0,1.0,price
101182,5.0,2945.0,5.0,price
67323,1.0,2999.0,1.0,price
90720,6.0,4096.0,7.0,price
19214,4.0,3065.0,4.0,price
47039,1.0,2599.0,1.0,price
4941,2.0,4197.0,3.0,price
108642,2.0,2675.0,2.0,price
81755,2.0,2747.0,3.0,price
10493,3.0,3308.0,5.0,price
12147,1.0,4198.0,2.0,price
88556,1.0,2599.0,1.0,price
21184,1.0,3298.0,2.0,price
28336,2.0,2799.0,2.0,price
78085,1.0,3930.0,1.0,price
8644,4.0,3878.0,4.0,price
94776,8.0,4504.0,8.0,price
42671,3.0,2846.0,4.0,price
86217,2.0,2679.0,2.0,price
102466,2.0,2907.0,2.0,price
88167,1.0,2999.0,1.0,price
10718,2.0,3499.0,2.0,price
59516,1.0,3299.0,1.0,price
9294,8.0,3569.0,9.0,price
101341,1.0,2899.0,1.0,price
87402,1.0,2599.0,1.0,price
3102,2.0,4999.0,2.0,price
59295,3.0,4288.0,5.0,price
106236,1.0,2639.0,1.0,price
44132,7.0,3440.0,9.0,price
63455,1.0,3299.0,1.0,price
28921,8.0,3336.0,13.0,price
107797,1.0,4199.0,1.0,price
57158,3.0,3607.0,3.0,price
32313,1.0,2989.0,1.0,price
84228,2.0,2606.0,2.0,price
20457,5.0,4471.0,5.0,price
40635,2.0,2999.0,2.0,price
64554,4.0,4030.0,4.0,price
87083,3.0,2686.0,3.0,price
33809,1.0,3199.0,1.0,price
115229,4.0,3018.0,4.0,price
47144,2.0,2898.0,2.0,price
106103,1.0,2849.0,1.0,price
70082,1.0,2699.0,1.0,price
59174,3.0,7297.0,3.0,price
110632,3.0,2671.0,3.0,price
48821,1.0,4499.0,1.0,price
86819,1.0,2599.0,1.0,price
76141,1.0,5489.0,1.0,price
47421,3.0,3589.0,4.0,price
9427,2.0,2599.0,2.0,price
87761,4.0,2813.0,4.0,price
62641,1.0,3775.0,1.0,price
62103,1.0,2699.0,1.0,price
35533,1.0,2999.0,1.0,price
38874,3.0,2964.0,3.0,price
73763,1.0,5499.0,1.0,price
102477,2.0,2679.0,2.0,price
22950,5.0,2617.0,6.0,price
15702,1.0,4799.0,1.0,price
87274,1.0,2599.0,1.0,price
26640,1.0,3998.0,2.0,price
16563,1.0,2749.0,1.0,price
49170,3.0,2647.0,3.0,price
92523,2.0,2894.0,2.0,price
84286,1.0,2999.0,1.0,price
109668,8.0,3391.0,15.0,price
70586,1.0,3499.0,1.0,price
15502,3.0,2713.0,3.0,price
62430,1.0,2599.0,1.0,price
6872,3.0,3012.0,3.0,price
74625,3.0,3025.0,3.0,price
31371,2.0,2939.0,2.0,price
6205,3.0,3639.0,3.0,price
103951,1.0,2599.0,1.0,price
56407,2.0,2679.0,2.0,price
87751,2.0,2947.0,3.0,price
91380,2.0,2754.0,2.0,price
98355,2.0,3459.0,2.0,price
54784,3.0,2748.0,3.0,price
113993,1.0,3999.0,1.0,price
32639,4.0,3931.0,5.0,price
61495,3.0,2691.0,3.0,price
101896,3.0,3074.0,3.0,price
97375,2.0,4397.0,3.0,price
16228,1.0,2699.0,1.0,price
40915,3.0,3898.0,3.0,price
41278,2.0,4012.0,2.0,price
67142,2.0,2679.0,2.0,price
113465,1.0,2899.0,1.0,price
107064,1.0,3698.0,2.0,price
75750,4.0,4879.0,6.0,price
78981,2.0,2610.0,2.0,price
21541,2.0,2749.0,2.0,price
101588,1.0,4218.0,2.0,price
22122,5.0,5172.0,5.0,price
22563,2.0,2847.0,3.0,price
76743,2.0,2924.0,2.0,price
88264,1.0,4649.0,1.0,price
106241,3.0,2852.0,3.0,price
111216,6.0,4276.0,6.0,price
62293,2.0,2599.0,2.0,price
95924,1.0,2889.0,1.0,price
1540,2.0,8499.0,2.0,price
5496,3.0,3439.0,3.0,price
62053,1.0,2599.0,1.0,price
104326,2.0,3398.0,2.0,price
113418,2.0,2606.0,2.0,price
38494,1.0,4899.0,1.0,price
111755,2.0,2664.0,2.0,price
37741,2.0,2999.0,2.0,price
52221,3.0,3755.0,3.0,price
114495,1.0,3399.0,1.0,price
107287,1.0,3119.0,1.0,price
113874,3.0,3398.0,3.0,price
75913,3.0,2952.0,3.0,price
108858,3.0,2647.0,3.0,price
71937,1.0,2599.0,1.0,price
114454,2.0,4548.0,2.0,price
2392,3.0,2898.0,3.0,price
22723,1.0,2798.0,2.0,price
58054,3.0,2998.0,3.0,price
23607,14.0,5348.0,15.0,price
63289,1.0,2599.0,1.0,price
47352,1.0,2598.0,2.0,price
66286,2.0,2975.0,2.0,price
65218,2.0,3139.0,2.0,price
80128,3.0,6716.0,4.0,price
6660,2.0,2899.0,2.0,price
81368,2.0,2924.0,2.0,price
42427,1.0,2699.0,1.0,price
86353,2.0,2606.0,2.0,price
27475,2.0,2799.0,2.0,price
109731,2.0,2898.0,4.0,price
2131,2.0,2750.0,3.0,price
86245,2.0,4047.0,3.0,price
42425,2.0,3544.0,2.0,price
40051,1.0,5299.0,1.0,price
7512,4.0,3047.0,4.0,price
74409,3.0,3059.0,3.0,price
36112,5.0,3074.0,7.0,price
43807,2.0,2898.0,2.0,price
111266,1.0,2699.0,1.0,price
59073,1.0,2599.0,1.0,price
64080,1.0,3799.0,1.0,price
45930,3.0,4187.0,3.0,price
64131,1.0,3999.0,1.0,price
40855,3.0,4264.0,3.0,price
111456,3.0,4197.0,3.0,price
87001,3.0,3197.0,3.0,price
82255,1.0,2599.0,1.0,price
84268,1.0,2599.0,1.0,price
18607,1.0,3179.0,1.0,price
75949,1.0,2999.0,1.0,price
93706,2.0,3618.0,2.0,price
90162,1.0,2599.0,1.0,price
87950,1.0,2899.0,1.0,price
60354,1.0,2599.0,1.0,price
104521,1.0,4499.0,1.0,price
102364,2.0,3139.0,2.0,price
69923,1.0,5299.0,1.0,price
93787,1.0,3799.0,1.0,price
104606,1.0,2999.0,1.0,price
9455,2.0,2806.0,2.0,price
23124,1.0,2699.0,1.0,price
47362,1.0,3999.0,1.0,price
26841,1.0,4499.0,1.0,price
56539,1.0,3299.0,1.0,price
12664,1.0,3299.0,1.0,price
38265,5.0,4995.0,5.0,price
55088,1.0,2999.0,1.0,price
114688,2.0,3238.0,2.0,price
14032,2.0,3639.0,2.0,price
30959,5.0,2770.0,5.0,price
113330,3.0,2667.0,3.0,price
57692,2.0,4398.0,2.0,price
93066,2.0,2950.0,2.0,price
35209,1.0,3390.0,2.0,price
5229,2.0,4940.0,3.0,price
63387,6.0,3071.0,6.0,price
104152,2.0,2670.0,2.0,price
90614,2.0,3398.0,2.0,price
66021,1.0,2795.0,1.0,price
12570,1.0,2999.0,1.0,price
13486,1.0,3499.0,1.0,price
72642,1.0,2599.0,1.0,price
8870,2.0,6799.0,2.0,price
100777,4.0,2964.0,6.0,price
98388,3.0,2867.0,3.0,price
109451,1.0,2699.0,1.0,price
41519,2.0,5596.0,4.0,price
62536,1.0,2599.0,1.0,price
84580,2.0,2679.0,2.0,price
57415,1.0,3099.0,1.0,price
93373,3.0,2615.0,3.0,price
2388,2.0,2699.0,2.0,price
93517,1.0,2889.0,1.0,price
60803,1.0,15199.0,1.0,price
16944,6.0,3286.0,7.0,price
67282,5.0,4653.0,8.0,price
74044,3.0,2686.0,3.0,price
76569,1.0,2899.0,1.0,price
65714,1.0,2999.0,1.0,price
96323,1.0,2599.0,1.0,price
107602,3.0,2930.0,4.0,price
48982,5.0,3876.0,5.0,price
108614,1.0,14999.0,1.0,price
50068,2.0,2598.0,2.0,price
85359,1.0,2599.0,1.0,price
86330,1.0,2599.0,1.0,price
77062,6.0,4603.0,6.0,price
70655,5.0,3855.0,5.0,price
9511,3.0,3798.0,3.0,price
58817,2.0,2610.0,2.0,price
111306,2.0,9574.0,2.0,price
21252,1.0,3499.0,1.0,price
25934,6.0,3605.0,6.0,price
36229,4.0,4463.0,4.0,price
93767,2.0,3048.0,2.0,price
42409,2.0,4178.0,2.0,price
38100,3.0,6997.0,3.0,price
86160,1.0,2599.0,1.0,price
23119,2.0,3798.0,2.0,price
34343,6.0,4502.0,6.0,price
77290,2.0,3012.0,2.0,price
75207,16.0,3027.0,16.0,price
78019,4.0,4152.0,4.0,price
102790,2.0,2606.0,2.0,price
19490,3.0,3297.0,3.0,price
56865,1.0,2599.0,1.0,price
67851,1.0,2599.0,1.0,price
74137,1.0,2599.0,1.0,price
9132,4.0,3998.0,4.0,price
91406,3.0,2686.0,3.0,price
96794,3.0,2997.0,3.0,price
32387,11.0,3064.0,12.0,price
101497,1.0,2599.0,1.0,price
102599,1.0,2999.0,1.0,price
55985,1.0,2599.0,1.0,price
58723,1.0,2599.0,1.0,price
52289,2.0,4499.0,2.0,price
22128,1.0,3499.0,1.0,price
61579,3.0,4139.0,3.0,price
93304,4.0,4415.0,10.0,price
65378,1.0,2999.0,1.0,price
83436,1.0,2999.0,1.0,price
81566,1.0,2599.0,1.0,price
114702,5.0,3116.0,8.0,price
113198,3.0,3474.0,3.0,price
95699,1.0,2595.0,1.0,price
86876,36.0,4331.0,48.0,price
4574,3.0,2598.0,3.0,price
78831,4.0,3755.0,5.0,price
109676,1.0,3249.0,1.0,price
91697,1.0,2999.0,1.0,price
10558,2.0,3199.0,2.0,price
100446,2.0,3278.0,2.0,price
109969,3.0,3383.0,3.0,price
103326,2.0,2606.0,2.0,price
28522,1.0,3699.0,1.0,price
60479,2.0,3544.0,2.0,price
57486,1.0,2599.0,1.0,price
59688,1.0,3299.0,1.0,price
61282,2.0,2824.0,2.0,price
20087,2.0,4006.0,2.0,price
62878,1.0,2599.0,1.0,price
18994,2.0,3748.0,2.0,price
86732,3.0,5205.0,3.0,price
110271,8.0,3175.0,9.0,price
82740,2.0,3148.0,2.0,price
