ID,Nb_of_items,TOTAL_BASKET_VALUE,TOTAL_PRODUCTS
60718,3.0,4824.0,3.0
10491,4.0,4397.0,4.0
16706,3.0,7296.0,4.0
83424,1.0,5198.0,2.0
114792,3.0,5987.0,3.0
22207,1.0,3849.0,1.0
106776,4.0,5763.0,4.0
3669,20.0,3965.0,23.0
40535,17.0,5456.0,21.0
11749,21.0,6572.0,22.0
20674,3.0,4573.0,3.0
97653,2.0,4974.0,2.0
51052,4.0,7779.0,4.0
77473,2.0,5519.0,2.0
89416,2.0,3939.0,2.0
49258,1.0,4499.0,1.0
113711,2.0,5047.0,3.0
82132,7.0,4946.0,9.0
5148,14.0,4871.0,15.0
103539,1.0,14999.0,1.0
32637,1.0,5351.0,1.0
102396,2.0,5139.0,2.0
87004,5.0,7356.0,6.0
61566,2.0,3999.0,2.0
51180,5.0,6641.0,5.0
74924,2.0,4139.0,2.0
76325,10.0,5116.0,14.0
93895,4.0,5184.0,4.0
46091,12.0,3925.0,18.0
1417,1.0,6798.0,1.0
50723,2.0,5519.0,2.0
177,2.0,3924.0,2.0
58715,7.0,5254.0,8.0
17924,17.0,6575.0,17.0
100020,2.0,4006.0,2.0
41099,1.0,3999.0,1.0
32436,3.0,4397.0,3.0
106150,10.0,5662.0,10.0
89557,2.0,4498.0,2.0
112844,1.0,9549.0,1.0
12480,3.0,4197.0,3.0
41577,2.0,5424.0,2.0
42684,2.0,4573.0,3.0
103836,1.0,4049.0,1.0
18429,4.0,3946.0,5.0
110231,2.0,4447.0,3.0
57413,1.0,4999.0,1.0
43469,2.0,4012.0,2.0
102355,5.0,4876.0,5.0
115124,1.0,3999.0,1.0
66198,3.0,4164.0,3.0
10450,3.0,4348.0,3.0
64460,3.0,4897.0,3.0
74364,2.0,4158.0,2.0
22534,4.0,5738.0,4.0
26548,7.0,4385.0,7.0
113718,2.0,4278.0,2.0
65300,2.0,6097.0,3.0
87562,1.0,6297.0,3.0
22452,2.0,4044.0,2.0
101365,1.0,6895.0,1.0
74527,2.0,4014.0,2.0
27415,3.0,3852.0,3.0
37464,1.0,5999.0,1.0
18197,2.0,4297.0,3.0
20262,5.0,3996.0,5.0
6032,2.0,7399.0,2.0
96005,2.0,6698.0,2.0
40881,3.0,5359.0,3.0
4418,8.0,3933.0,8.0
87414,5.0,5562.0,10.0
28238,1.0,4198.0,2.0
6958,4.0,5016.0,4.0
64823,3.0,5947.0,3.0
41345,2.0,4398.0,2.0
93377,1.0,8999.0,1.0
102965,1.0,11499.0,1.0
52171,1.0,6499.0,1.0
83111,1.0,5489.0,1.0
31611,1.0,4499.0,1.0
25959,4.0,4122.0,4.0
6755,10.0,4123.0,24.0
94091,2.0,4467.0,3.0
106296,2.0,3967.0,2.0
8465,4.0,4567.0,4.0
55405,2.0,4499.0,2.0
39838,5.0,4696.0,14.0
14083,3.0,3973.0,3.0
99577,7.0,4491.0,7.0
74086,10.0,4636.0,10.0
9944,2.0,4940.0,3.0
66570,2.0,3999.0,2.0
69628,2.0,4805.0,3.0
8643,4.0,3878.0,4.0
68265,8.0,5027.0,8.0
83614,2.0,4398.0,2.0
90092,16.0,6541.0,18.0
18957,12.0,5295.0,12.0
268,2.0,4006.0,2.0
39216,2.0,4094.0,2.0
90699,12.0,7440.0,16.0
91114,3.0,4291.0,5.0
26919,1.0,4199.0,1.0
92871,5.0,8223.0,7.0
31576,9.0,7389.0,12.0
55873,1.0,3999.0,1.0
68059,2.0,5519.0,2.0
105911,4.0,6396.0,4.0
40257,1.0,4999.0,1.0
62234,1.0,4099.0,1.0
100451,1.0,4405.0,1.0
106285,2.0,3968.0,2.0
41676,2.0,7776.0,4.0
42408,2.0,4178.0,2.0
18471,1.0,3999.0,1.0
44368,6.0,3888.0,6.0
84400,1.0,4999.0,1.0
98136,1.0,4799.0,1.0
28442,1.0,3930.0,1.0
109996,4.0,4296.0,4.0
50960,34.0,7476.0,68.0
24991,1.0,10549.0,1.0
75836,3.0,4398.0,3.0
36572,1.0,4499.0,1.0
49271,1.0,6499.0,1.0
78598,2.0,5519.0,2.0
39975,2.0,4799.0,2.0
26383,2.0,4248.0,2.0
66518,3.0,4014.0,3.0
29900,1.0,5999.0,1.0
83182,3.0,4273.0,3.0
107833,2.0,5098.0,2.0
30587,1.0,4049.0,1.0
12853,1.0,4798.0,2.0
47503,2.0,3997.0,3.0
95121,1.0,5699.0,1.0
39370,2.0,4019.0,2.0
103807,3.0,4169.0,3.0
40390,1.0,4199.0,1.0
62611,1.0,5799.0,1.0
88988,4.0,8054.0,7.0
113212,8.0,5620.0,8.0
8892,9.0,5189.0,9.0
95713,1.0,11499.0,1.0
57769,2.0,3936.0,2.0
50556,2.0,5019.0,2.0
108699,1.0,11499.0,1.0
113992,1.0,3999.0,1.0
43655,2.0,5418.0,3.0
88738,1.0,4099.0,1.0
21643,2.0,4397.0,3.0
66567,1.0,4999.0,1.0
81294,2.0,4398.0,2.0
51321,19.0,6473.0,28.0
23904,1.0,3999.0,1.0
113737,3.0,3877.0,3.0
5867,2.0,4940.0,3.0
26809,3.0,4790.0,3.0
107228,2.0,4598.0,2.0
65461,3.0,6218.0,3.0
108251,2.0,8665.0,2.0
79430,6.0,4837.0,6.0
43398,2.0,4598.0,2.0
63514,2.0,3999.0,2.0
28240,1.0,8699.0,1.0
8419,2.0,3900.0,2.0
6926,2.0,3998.0,3.0
111003,8.0,4102.0,9.0
110451,1.0,4999.0,1.0
44232,2.0,3898.0,2.0
89933,8.0,4472.0,10.0
49270,2.0,7097.0,2.0
60877,2.0,4699.0,2.0
27703,4.0,4714.0,8.0
44308,1.0,3999.0,1.0
33079,12.0,4189.0,22.0
96521,1.0,4799.0,1.0
39645,5.0,4118.0,13.0
39374,2.0,4019.0,2.0
58721,2.0,6124.0,2.0
86752,5.0,4545.0,5.0
87100,3.0,3947.0,3.0
26631,3.0,4147.0,3.0
109866,3.0,4296.0,4.0
46369,2.0,5698.0,2.0
5649,3.0,3949.0,4.0
87665,2.0,3928.0,4.0
102394,4.0,3964.0,4.0
18067,1.0,6500.0,1.0
33172,2.0,4398.0,2.0
115108,1.0,5799.0,1.0
38366,4.0,4986.0,4.0
55522,1.0,4149.0,1.0
109845,21.0,6231.0,32.0
108352,2.0,4178.0,2.0
64914,4.0,7659.0,5.0
29087,3.0,4211.0,3.0
57550,3.0,4423.0,3.0
81569,2.0,5609.0,2.0
28296,11.0,5634.0,18.0
80052,2.0,5124.0,2.0
40783,1.0,3999.0,1.0
8589,2.0,4168.0,2.0
111993,4.0,4454.0,4.0
15776,11.0,4155.0,12.0
36754,3.0,4264.0,3.0
72355,1.0,4799.0,1.0
70459,3.0,4139.0,3.0
86731,3.0,5205.0,3.0
66605,2.0,3999.0,2.0
13316,1.0,4199.0,1.0
39372,2.0,4019.0,2.0
103849,4.0,4357.0,4.0
77467,1.0,3999.0,1.0
47126,3.0,8818.0,3.0
64225,1.0,5998.0,2.0
37373,1.0,3999.0,1.0
91491,3.0,4778.0,3.0
59052,2.0,3947.0,3.0
15484,1.0,3999.0,1.0
21400,1.0,7999.0,1.0
18060,2.0,4006.0,2.0
29839,1.0,6499.0,1.0
26782,3.0,5096.0,4.0
35874,2.0,3878.0,2.0
19151,4.0,4213.0,6.0
88252,1.0,3949.0,1.0
43413,1.0,5598.0,2.0
64726,8.0,3907.0,9.0
97976,2.0,4087.0,3.0
10860,3.0,5447.0,3.0
108704,2.0,4547.0,3.0
15898,4.0,4170.0,4.0
28862,18.0,5804.0,40.0
62579,2.0,3999.0,2.0
3400,2.0,4148.0,2.0
90016,2.0,4478.0,2.0
43371,2.0,4148.0,2.0
101144,15.0,8758.0,18.0
110111,2.0,4648.0,2.0
46219,1.0,8198.0,1.0
112026,3.0,5283.0,3.0
41776,2.0,5350.0,3.0
62203,3.0,4414.0,6.0
89503,2.0,4597.0,3.0
29988,2.0,4198.0,2.0
113632,1.0,4318.0,2.0
48279,1.0,5999.0,1.0
104956,1.0,16699.0,1.0
49587,1.0,3900.0,1.0
46591,5.0,4445.0,5.0
106067,2.0,3884.0,2.0
106390,3.0,4757.0,3.0
90190,2.0,4098.0,2.0
89057,3.0,4178.0,4.0
92755,3.0,5044.0,6.0
12744,1.0,4799.0,1.0
868,2.0,4940.0,3.0
19395,1.0,3999.0,1.0
75374,1.0,6479.0,1.0
66276,2.0,3999.0,2.0
19566,1.0,9999.0,1.0
40479,1.0,4999.0,1.0
36816,7.0,4042.0,8.0
86423,3.0,4218.0,5.0
108268,2.0,4028.0,2.0
82739,4.0,4493.0,4.0
113956,5.0,4753.0,8.0
77066,3.0,3984.0,3.0
45042,3.0,3970.0,3.0
15646,2.0,4019.0,2.0
31787,3.0,4659.0,3.0
103583,2.0,3928.0,2.0
113114,3.0,4422.0,3.0
4985,2.0,4940.0,3.0
65389,2.0,4139.0,2.0
16438,2.0,8499.0,2.0
35239,5.0,4785.0,5.0
40316,2.0,4848.0,2.0
3770,4.0,4397.0,4.0
51053,4.0,7772.0,4.0
89643,4.0,4146.0,4.0
397,5.0,4072.0,11.0
66063,2.0,4798.0,2.0
62578,2.0,3999.0,2.0
84120,2.0,3998.0,2.0
113619,13.0,3958.0,13.0
54825,2.0,6197.0,3.0
52034,2.0,4778.0,2.0
82914,1.0,5489.0,1.0
9805,2.0,4199.0,2.0
110867,2.0,5205.0,3.0
77537,4.0,3946.0,4.0
10884,8.0,4345.0,8.0
108823,1.0,6298.0,2.0
14396,8.0,4121.0,8.0
37583,2.0,4597.0,3.0
64181,2.0,4593.0,3.0
16035,2.0,5898.0,2.0
63665,1.0,4099.0,1.0
99340,2.0,5069.0,3.0
14068,1.0,3999.0,1.0
54272,2.0,3998.0,4.0
9616,2.0,3849.0,2.0
78525,1.0,4499.0,1.0
105602,3.0,4732.0,4.0
108196,1.0,21995.0,1.0
94647,5.0,3914.0,6.0
64097,1.0,3999.0,1.0
10496,2.0,3999.0,2.0
51326,1.0,7462.0,1.0
29771,1.0,5999.0,1.0
94677,2.0,5147.0,3.0
86571,1.0,4799.0,1.0
40683,2.0,4948.0,2.0
104762,12.0,5746.0,56.0
112325,4.0,4010.0,4.0
17354,3.0,4343.0,3.0
82500,1.0,4799.0,1.0
15320,1.0,3999.0,1.0
35674,2.0,4699.0,2.0
92508,1.0,10496.0,1.0
44581,4.0,6012.0,4.0
101429,3.0,3906.0,4.0
94534,4.0,4147.0,4.0
38122,1.0,3999.0,1.0
58606,3.0,7007.0,3.0
113530,2.0,4078.0,2.0
7366,3.0,4378.0,5.0
49541,6.0,5302.0,6.0
90210,3.0,4838.0,3.0
34000,3.0,6514.0,6.0
43612,2.0,3956.0,4.0
80647,1.0,19999.0,1.0
91097,12.0,5926.0,17.0
99661,2.0,8670.0,2.0
20079,1.0,8999.0,1.0
110325,4.0,4089.0,4.0
54842,2.0,4197.0,3.0
27153,9.0,3922.0,10.0
107826,3.0,4160.0,3.0
21992,6.0,4227.0,9.0
55274,1.0,4398.0,2.0
37561,3.0,4047.0,3.0
113821,2.0,4006.0,2.0
81453,1.0,5097.0,3.0
36678,1.0,4398.0,2.0
76509,4.0,3996.0,4.0
65451,1.0,5499.0,1.0
6798,5.0,4698.0,5.0
14174,1.0,3999.0,1.0
7986,3.0,4898.0,3.0
1387,2.0,3999.0,2.0
48217,2.0,4448.0,2.0
104808,2.0,4054.0,2.0
47529,2.0,4499.0,2.0
92337,1.0,4999.0,1.0
12224,1.0,3999.0,1.0
82369,1.0,4999.0,1.0
77557,3.0,5000.0,4.0
12909,1.0,4098.0,2.0
58591,2.0,4398.0,2.0
100442,2.0,4012.0,2.0
43034,1.0,3999.0,1.0
83926,1.0,6895.0,1.0
47720,2.0,8798.0,2.0
28755,1.0,4499.0,1.0
98531,15.0,5215.0,17.0
64777,1.0,3999.0,1.0
98685,5.0,5749.0,7.0
36162,1.0,4299.0,1.0
108029,2.0,4784.0,2.0
79100,1.0,3999.0,1.0
93593,4.0,6018.0,4.0
35376,3.0,4684.0,3.0
113923,3.0,4041.0,3.0
479,1.0,3999.0,1.0
86581,2.0,4318.0,2.0
91776,1.0,6499.0,1.0
43388,2.0,4598.0,2.0
100011,2.0,4006.0,2.0
59605,4.0,3951.0,5.0
95658,1.0,5299.0,1.0
41764,1.0,5449.0,1.0
94486,1.0,5299.0,1.0
86812,3.0,4756.0,4.0
77854,2.0,4149.0,2.0
31377,3.0,5427.0,3.0
45661,5.0,6497.0,5.0
100764,5.0,5424.0,5.0
78719,7.0,6686.0,9.0
72356,1.0,5299.0,1.0
104829,4.0,4556.0,6.0
24690,4.0,6227.0,5.0
115818,2.0,4098.0,2.0
89713,3.0,4743.0,3.0
110947,9.0,4952.0,11.0
16152,1.0,8499.0,1.0
35524,6.0,4765.0,10.0
4757,4.0,3898.0,4.0
110726,3.0,4396.0,4.0
84247,3.0,4967.0,3.0
59664,1.0,6549.0,1.0
84918,1.0,5299.0,1.0
14788,4.0,5895.0,5.0
39128,2.0,4588.0,4.0
115262,7.0,3981.0,7.0
57414,13.0,5252.0,14.0
96892,2.0,5139.0,2.0
111667,8.0,5098.0,8.0
46396,1.0,3999.0,1.0
98246,3.0,3913.0,3.0
48808,1.0,4598.0,2.0
46253,3.0,8318.0,3.0
88076,1.0,9999.0,1.0
39028,1.0,4588.0,2.0
37465,1.0,5999.0,1.0
14862,2.0,4148.0,2.0
34779,3.0,4347.0,3.0
62922,2.0,4124.0,2.0
76947,2.0,3958.0,3.0
64904,3.0,6035.0,4.0
4849,2.0,9198.0,2.0
62310,1.0,3999.0,1.0
107694,1.0,13995.0,1.0
83417,2.0,3870.0,7.0
36273,3.0,3947.0,3.0
31110,1.0,3999.0,1.0
41647,2.0,4019.0,2.0
56597,4.0,5546.0,4.0
19170,4.0,6645.0,5.0
39373,2.0,4019.0,2.0
58943,2.0,4149.0,2.0
44568,4.0,3882.0,4.0
55797,5.0,4343.0,6.0
85832,3.0,4877.0,3.0
100088,1.0,4850.0,2.0
29772,1.0,5999.0,1.0
42943,3.0,4485.0,3.0
43798,7.0,8642.0,10.0
92952,4.0,4147.0,4.0
12800,1.0,4258.0,2.0
39375,2.0,4019.0,2.0
97249,2.0,5348.0,2.0
51108,3.0,7947.0,3.0
82772,5.0,4669.0,5.0
107274,3.0,4092.0,5.0
80638,1.0,5489.0,1.0
114317,1.0,5599.0,1.0
115190,9.0,4229.0,11.0
57463,1.0,4999.0,1.0
75362,1.0,4499.0,1.0
104010,4.0,5416.0,4.0
114597,1.0,8624.0,1.0
47766,1.0,3999.0,1.0
74453,3.0,5149.0,3.0
44817,3.0,5398.0,3.0
76116,3.0,4096.0,4.0
106700,3.0,4287.0,3.0
87545,3.0,5288.0,4.0
27003,3.0,3923.0,3.0
38568,3.0,6621.0,3.0
44939,2.0,8798.0,2.0
89652,2.0,4958.0,4.0
96719,1.0,4798.0,2.0
28267,5.0,4014.0,11.0
112845,1.0,9549.0,1.0
13360,2.0,4697.0,3.0
62447,2.0,5649.0,2.0
46221,2.0,4005.0,3.0
33325,2.0,6819.0,2.0
16292,2.0,4799.0,2.0
72269,3.0,5197.0,3.0
27449,3.0,4647.0,3.0
37674,2.0,4698.0,2.0
32351,2.0,5598.0,2.0
21114,5.0,4146.0,6.0
100194,4.0,5249.0,4.0
112346,15.0,9783.0,20.0
104624,1.0,4850.0,2.0
26260,2.0,4869.0,2.0
21224,4.0,4146.0,4.0
95454,1.0,5299.0,1.0
48160,1.0,4999.0,1.0
62168,2.0,5747.0,3.0
106145,4.0,4323.0,4.0
64353,2.0,4019.0,2.0
22505,2.0,4398.0,2.0
98004,12.0,3914.0,42.0
26957,2.0,4519.0,2.0
106746,3.0,4161.0,3.0
106959,2.0,3919.0,2.0
32179,2.0,4065.0,2.0
3507,4.0,3957.0,4.0
12838,3.0,4356.0,4.0
47416,2.0,4958.0,4.0
27362,1.0,3999.0,1.0
115545,30.0,9372.0,28.0
64716,3.0,4024.0,3.0
99364,6.0,3931.0,6.0
115392,5.0,4797.0,5.0
92335,2.0,9574.0,2.0
11289,2.0,3999.0,2.0
21930,2.0,3999.0,2.0
42118,1.0,5299.0,1.0
65657,1.0,3999.0,1.0
26199,1.0,18349.0,1.0
112524,4.0,5265.0,5.0
95545,3.0,5197.0,3.0
12780,3.0,6397.0,3.0
8212,2.0,3999.0,2.0
25437,1.0,4299.0,1.0
10742,2.0,4598.0,3.0
55808,6.0,5500.0,6.0
45465,1.0,3999.0,1.0
65853,1.0,3900.0,1.0
18606,1.0,3974.0,1.0
51179,5.0,6641.0,5.0
18303,7.0,7133.0,8.0
59001,5.0,3974.0,7.0
5283,4.0,4697.0,4.0
59294,2.0,4748.0,2.0
64192,2.0,3896.0,4.0
114926,3.0,6531.0,3.0
82173,2.0,4597.0,3.0
10895,4.0,4506.0,5.0
38920,1.0,4799.0,1.0
22556,1.0,3899.0,1.0
90539,2.0,3998.0,2.0
64379,5.0,4098.0,5.0
63605,4.0,4297.0,6.0
267,2.0,4006.0,2.0
67455,1.0,5499.0,1.0
103842,2.0,3878.0,2.0
110689,5.0,3930.0,7.0
65140,2.0,3999.0,2.0
19612,11.0,4550.0,14.0
25379,2.0,7699.0,2.0
4940,3.0,4197.0,4.0
8588,3.0,4148.0,3.0
40836,6.0,4522.0,8.0
92539,3.0,4197.0,3.0
103079,11.0,4543.0,11.0
89538,1.0,4799.0,1.0
89086,3.0,4174.0,3.0
14002,2.0,3974.0,2.0
62109,2.0,3999.0,2.0
96369,13.0,4452.0,18.0
46263,3.0,8318.0,3.0
94648,1.0,5289.0,1.0
45063,18.0,3937.0,35.0
20269,5.0,3996.0,5.0
47210,2.0,5000.0,2.0
33163,1.0,8699.0,1.0
40632,2.0,4124.0,2.0
46234,2.0,3898.0,2.0
65334,2.0,3999.0,2.0
95486,1.0,13995.0,1.0
79792,1.0,6999.0,1.0
42724,1.0,4799.0,1.0
67023,1.0,5499.0,1.0
10671,4.0,4567.0,4.0
67545,3.0,4139.0,3.0
85313,1.0,4399.0,1.0
103779,4.0,5516.0,4.0
91880,2.0,4019.0,2.0
91991,2.0,6007.0,3.0
105012,4.0,6245.0,5.0
77862,4.0,4045.0,5.0
111758,6.0,4348.0,7.0
40501,3.0,4843.0,3.0
16902,1.0,9999.0,1.0
50508,3.0,5273.0,3.0
106322,1.0,3998.0,2.0
14754,2.0,4098.0,2.0
41559,2.0,4139.0,2.0
112692,2.0,5124.0,2.0
62062,2.0,3999.0,2.0
25100,3.0,6418.0,3.0
105816,2.0,3939.0,2.0
47969,3.0,4618.0,3.0
69691,1.0,5299.0,1.0
102462,12.0,8080.0,18.0
103139,1.0,3999.0,1.0
54926,2.0,5048.0,2.0
106450,5.0,3939.0,6.0
6953,3.0,4047.0,4.0
83432,2.0,4149.0,2.0
56880,1.0,3999.0,1.0
26716,1.0,8499.0,1.0
17451,3.0,4338.0,3.0
61801,1.0,5799.0,1.0
112682,5.0,4157.0,5.0
103992,1.0,4499.0,1.0
24275,2.0,4947.0,3.0
10414,3.0,4930.0,3.0
20729,2.0,5898.0,2.0
12663,1.0,6799.0,1.0
77653,1.0,6798.0,2.0
66566,3.0,5264.0,3.0
87663,3.0,4087.0,5.0
55213,1.0,4398.0,2.0
104803,4.0,5543.0,4.0
41578,1.0,5299.0,1.0
99779,1.0,16699.0,1.0
94128,2.0,8596.0,4.0
84399,1.0,4849.0,1.0
66487,1.0,4198.0,2.0
113316,1.0,4999.0,1.0
38062,3.0,4996.0,4.0
46444,1.0,3999.0,1.0
97033,3.0,4546.0,4.0
38166,2.0,6019.0,2.0
4933,2.0,4198.0,3.0
78186,3.0,4139.0,3.0
54799,1.0,6499.0,1.0
103695,2.0,3878.0,2.0
83106,3.0,3877.0,3.0
28082,2.0,4497.0,3.0
6040,2.0,7197.0,4.0
112496,2.0,3898.0,2.0
64717,1.0,5799.0,1.0
14065,2.0,4398.0,2.0
24490,3.0,4264.0,3.0
78226,11.0,4925.0,12.0
27858,2.0,4278.0,4.0
66601,2.0,4878.0,2.0
11820,1.0,4049.0,1.0
103994,2.0,4024.0,2.0
16332,6.0,3989.0,7.0
12511,7.0,3906.0,7.0
74814,1.0,18349.0,1.0
93257,9.0,6507.0,9.0
82106,4.0,4196.0,6.0
33119,3.0,3896.0,4.0
107354,13.0,5164.0,22.0
115502,10.0,3958.0,11.0
30011,1.0,3999.0,1.0
10498,8.0,3948.0,9.0
95269,14.0,11326.0,18.0
115740,2.0,6897.0,3.0
66520,7.0,3968.0,9.0
61445,3.0,4139.0,3.0
52544,1.0,5999.0,1.0
38367,3.0,5137.0,3.0
100195,1.0,16699.0,1.0
26792,3.0,4162.0,3.0
25068,3.0,9018.0,3.0
31913,4.0,4319.0,5.0
31455,4.0,3886.0,4.0
77933,1.0,5499.0,1.0
2014,2.0,6799.0,2.0
92649,4.0,4217.0,7.0
75491,4.0,4172.0,4.0
195,3.0,4119.0,3.0
14212,1.0,3999.0,1.0
40424,3.0,4274.0,3.0
33532,3.0,3947.0,3.0
65398,3.0,4159.0,3.0
11347,2.0,8499.0,2.0
91622,2.0,3958.0,4.0
48965,1.0,4649.0,1.0
7290,5.0,4996.0,5.0
10475,2.0,3999.0,2.0
344,1.0,3999.0,1.0
20551,7.0,5519.0,9.0
97881,3.0,5396.0,4.0
6077,2.0,4940.0,3.0
8903,8.0,5150.0,8.0
32909,2.0,5000.0,2.0
4715,4.0,4650.0,5.0
35377,2.0,4147.0,3.0
20462,2.0,4079.0,2.0
59016,3.0,4077.0,3.0
71976,2.0,3898.0,2.0
