model,frequency,description_length
LG OLED55B16LA 2021 OLED HDR 4K ULTRA HD SMART TV,415,49
SONY BRAVIA XR XR55A80J 2021 OLED HDR 4K ULTRA HD,414,49
"2020 APPLE IPAD PRO 12.9""",401,25
APPLE WATCH SERIES 7 GPS 45MM STARLIGHT ALUMINIUM,396,49
2020 APPLE MAC MINI DESKTOP COMPUTER M1 PROCESSOR,372,49
APPLE IPHONE 11,370,15
LG OLED48A16LA 2021 OLED HDR 4K ULTRA HD SMART TV,362,49
APPLE WATCH SERIES 6 GPS 40MM SPACE GREY ALUMINIUM,352,50
APPLE IPHONE 12 PRO,352,19
APPLE WATCH SERIES 7 GPS 45MM BLUE ALUMINIUM CASE,347,49
APPLE WATCH NIKE SERIES 7 GPS 45MM MIDNIGHT ALUMIN,347,50
LG OLED55G16LA 2021 OLED HDR 4K ULTRA HD SMART TV,330,49
APPLE AIRPODS PRO WITH WIRELESS CHARGING CASE,329,45
LG OLED55CX5LB 2020 OLED HDR 4K ULTRA HD SMART TV,320,49
APPLE WATCH SERIES 7 GPS CELLULAR 45MM MIDNIGHT AL,311,50
2019 APPLE MACBOOK PRO 16 TOUCH BAR INTEL CORE I9,306,49
2021 APPLE IPAD MINI 8 3 A15 BIONIC PROCESSOR IPAD,305,50
LG OLED65G16LA 2021 OLED HDR 4K ULTRA HD SMART TV,303,49
"APPLE PENCIL, 2ND GENERATION (2018)",303,35
2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI CELL,298,50
APPLE AIRPODS PRO WITH MAGSAFE CHARGING CASE,272,44
LG OLED65A16LA 2021 OLED HDR 4K ULTRA HD SMART TV,272,49
SAMSUNG GALAXY TAB S7 TABLET WITH BLUETOOTH S PEN,268,49
"2020 APPLE IPAD PRO 11""",265,23
APPLE WATCH SERIES 7 GPS 41MM BLUE ALUMINIUM CASE,260,49
SONY BRAVIA KE48A9 2020 OLED HDR 4K ULTRA HD SMART,255,50
APPLE IPHONE SE,255,15
APPLE MAGIC MOUSE 2021 SILVER,255,29
APPLE WATCH NIKE SERIES 6,249,25
"2020 APPLE MACBOOK PRO 13""",246,26
2019 APPLE AIRPODS WITH CHARGING CASE,245,37
APPLE SMART FOLIO FOR IPAD PRO 12 9 5TH GENERATION,243,50
"2021 APPLE IPAD PRO 12.9""",241,25
"2019 APPLE MACBOOK PRO 16""",237,26
2020 APPLE IMAC 27 ALL-IN-ONE INTEL CORE I5 8GB RA,235,50
SAMSUNG GALAXY TAB S7 FE TABLET WITH BLUETOOTH S P,229,50
APPLE MAGIC MOUSE 2 2015 WHITE,226,30
2020 APPLE IMAC 27 ALL-IN-ONE INTEL CORE I7 8GB RA,223,50
"2021 APPLE IPAD PRO 11""",220,23
SONY BRAVIA XR XR55X90J 2021 LED HDR 4K ULTRA HD S,216,50
APPLE MAGIC KEYBOARD FOR 11 IPAD PRO 2021 WHITE,205,47
OLED55CX5,203,9
LG OLED65B16LA 2021 OLED HDR 4K ULTRA HD SMART TV,191,49
LG 50NANO806PA 2021 LED HDR NANOCELL 4K ULTRA HD S,191,50
SAMSUNG QE55QN95A 2021 NEO QLED HDR 2000 4K ULTRA,190,49
2020 APPLE IMAC 21 5 ALL-IN-ONE INTEL CORE I5 8GB,187,49
APPLE WATCH SERIES 7 GPS 45MM GREEN ALUMINIUM CASE,184,50
APPLE WATCH SERIES 7 GPS 41MM GREEN ALUMINIUM CASE,183,50
APPLE 20W USB-C POWER ADAPTER FOR IPHONE IPAD,180,45
LG OLED77C14LB 2021 OLED HDR 4K ULTRA HD SMART TV,179,49
2021 APPLE IPAD PRO 12 9 M1 PROCESSOR IOS WI-FI 1T,178,50
APPLE WATCH SERIES 7 GPS CELLULAR 41MM STARLIGHT A,178,50
SAMSUNG GALAXY S21 5G SMARTPHONE WITH WIRELESS POW,177,50
RETAILER NATURAL COTTON QUILTED MATTRES,177,39
APPLE WATCH SERIES 6 GPS 44MM BLUE ALUMINIUM CASE,175,49
SONY BRAVIA XR XR65A90J 2021 OLED HDR 4K ULTRA HD,173,49
SONY BRAVIA XR XR55A90J 2021 OLED HDR 4K ULTRA HD,170,49
APPLE MAGIC KEYBOARD FOR 12 9 IPAD PRO 2021 WHITE,169,49
RETAILER CRISP AND FRESH 200 THREAD COU,169,39
2020 APPLE IMAC 27 ALL-IN-ONE,165,29
2021 APPLE IPAD 10 2 A13 BIONIC PROCESSOR IPADOS W,161,50
SONY BRAVIA XR XR77A80J 2021 OLED HDR 4K ULTRA HD,152,49
2021 APPLE AIRPODS WITH MAGSAFE CHARGING CASE 3RD,150,49
SONY BRAVIA XR XR65X90J 2021 LED HDR 4K ULTRA HD S,146,50
MICROSOFT 365 PERSONAL OFFICE SOFTWARE PC MAC TABL,144,50
SAMSUNG GALAXY A52S SMARTPHONE ANDROID 6GB RAM 6 5,144,50
DYSON CORRALE CORD-FREE HAIR STRAIGHTENERS,142,42
APPLE WATCH NIKE SERIES 7 GPS 41MM MIDNIGHT ALUMIN,140,50
SAMSUNG QE65QN95A 2021 NEO QLED HDR 2000 4K ULTRA,137,49
DYSON OUTSIZE ABSOLUTE VACUUM CLEANER,136,37
APPLE MLL82ZM A USB-C CHARGE CABLE 2M,133,37
SAMSUNG QE50QN94A 2021 NEO QLED HDR 2000 4K ULTRA,133,49
APPLE MAGIC KEYBOARD WITH NUMERIC KEYPAD  E,132,43
APPLE WATCH SERIES 6 GPS 40MM SILVER ALUMINIUM CAS,130,50
LOGITECH COMBO TOUCH FULL-SIZE BACKLIT KEYBOARD CO,129,50
APPLE WATCH SERIES 7 GPS CELLULAR 45MM GRAPHITE ST,128,50
APPLE WATCH SERIES 7 GPS CELLULAR 41MM MIDNIGHT AL,127,50
RETAILER SYNTHETIC SOFT TOUCH WASHABLE,127,38
SAMSUNG QE55QN94A 2021 NEO QLED HDR 2000 4K ULTRA,124,49
SAMSUNG GALAXY WATCH 4 CLASSIC BLUETOOTH 46MM STAI,121,50
APPLE WATCH SERIES 7 GPS CELLULAR 41MM GOLD STAINL,118,50
2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 512G,117,50
SONY BRAVIA XR XR50X90J 2021 LED HDR 4K ULTRA HD S,116,50
APPLE WATCH NIKE SERIES 6 GPS 44MM SPACE GREY ALUM,116,50
APPLE WATCH SERIES 7 GPS CELLULAR 45MM SILVER STAI,111,50
APPLE WATCH SERIES 6 GPS 44MM GOLD ALUMINIUM CASE,111,49
LG TONE FREE HBS-FN4 TRUE WIRELESS BLUETOOTH IN-EA,110,50
AIRPODS PRO,106,11
APPLE WATCH NIKE SERIES 7 GPS 41MM STARLIGHT ALUMI,105,50
RETAILER LUXURY NATURAL COLLECTION EGYP,105,39
RETAILER CROMWELL CHESTERFIELD LARGE 3,103,38
APPLE WATCH SERIES 6 GPS CELLULAR 44MM SPACE GREY,102,49
SAMSUNG QE75Q80A 2021 QLED HDR 1500 4K ULTRA HD SM,101,50
APPLE WATCH SERIES 7 GPS CELLULAR 45MM GOLD STAINL,100,50
APPLE WATCH SERIES 6 GPS CELLULAR 40MM GOLD ALUMIN,99,50
2019 APPLE MACBOOK PRO 16 TOUCH BAR INTEL CORE I7,99,49
SAMSUNG QE65QN90A 2021 NEO QLED HDR 2000 4K ULTRA,99,49
RETAILER ELSTRA MARLOW WARDROBE INTERNA,97,39
APPLE MAGIC MOUSE 2 (2015),96,26
APPLE SMART FOLIO FOR IPAD PRO 11 3RD GENERATION B,94,50
LG OLED65CX5LB 2020 OLED HDR 4K ULTRA HD SMART TV,91,49
RETAILER BARBICAN 5 SEATER CORNER SOFA,90,38
OLED48C1,90,8
APPLE WATCH SERIES 7 GPS CELLULAR 45MM STARLIGHT A,89,50
APPLE WATCH SERIES 6 GPS 40MM BLUE ALUMINIUM CASE,86,49
MJ1M2ZM/A,85,9
OLED65CX,84,8
APPLE IPHONE XR,84,15
APPLE WATCH SERIES 7 GPS CELLULAR 41MM GRAPHITE ST,84,50
SONY BRAVIA KD65X81J 2021 LED HDR 4K ULTRA HD SMAR,82,50
RETAILER BARBICAN MEDIUM 2 SEATER SOFA,82,38
RETAILER CALIA 3-SEATER DINING BENCH OA,81,39
LG OLED77G16LA 2021 OLED HDR 4K ULTRA HD SMART TV,81,49
SONY BRAVIA XR XR75X90J 2021 LED HDR 4K ULTRA HD S,80,50
2021 APPLE MACBOOK PRO 16 M1 MAX PROCESSOR 32GB RA,80,50
SAMSUNG QE43QN90A 2021 NEO QLED HDR 1500 4K ULTRA,80,49
APPLE WATCH SERIES 7 GPS CELLULAR 45MM BLUE ALUMIN,80,50
APPLE SMART KEYBOARD FOLIO FOR 11 IPAD PRO 2020 BL,79,50
APPLE IPHONE,79,12
SAMSUNG GALAXY WATCH 4 BLUETOOTH 40MM ALUMINIUM WI,79,50
SAMSUNG GALAXY TAB S8 ULTRA WITH BLUETOOTH S PEN A,78,50
SAMSUNG QE55QN90A 2021 NEO QLED HDR 2000 4K ULTRA,78,49
SAMSUNG GALAXY Z FLIP 3 5G FOLDABLE SMARTPHONE 8GB,77,50
2019 APPLE AIRPODS WITH CHARGING CASE 2ND GENERATI,77,50
SAMSUNG GALAXY S21 ULTRA 5G SMARTPHONE WITH WIRELE,76,50
SONOS ARC SMART SOUND BAR WITH DOLBY ATMOS VOICE C,76,50
APPLE PENCIL 1ST GENERATION 2015 WHITE,75,38
SAMSUNG QE85Q60A 2021 QLED HDR 4K ULTRA HD SMART T,75,50
SAMSUNG GALAXY Z FOLD 3 5G FOLDABLE SMARTPHONE 12G,75,50
APPLE WATCH NIKE SERIES 7 GPS 45MM STARLIGHT ALUMI,74,50
SAMSUNG QE65QN85A 2021 NEO QLED HDR 1500 4K ULTRA,72,49
SAMSUNG GALAXY WATCH 4 CLASSIC 4G CELLULAR 46MM ST,72,50
RETAILER TORONTO DINING ARMCHAIRS SET O,72,39
APPLE USB TYPE-C DIGITAL AV MULTIPORT ADAPTER WHIT,71,50
2020 APPLE MAC MINI DESKTOP COMPUTER,68,36
RETAILER BROOKS DINING ARMCHAIRS SET OF,67,39
EMMA ORIGINAL MEMORY FOAM MATTRESS MEDIUM TENSION,67,49
SONOS BEAM GEN 2 COMPACT SMART SOUND BAR WITH DOLB,67,50
APPLE AIRPODS MAX NOISE CANCELLING WIRELESS BLUETO,67,50
APPLE WATCH SERIES 7 GPS CELLULAR 41MM SILVER STAI,67,50
2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 128GB SPACE,66,49
SAMSUNG QE75Q70A 2021 QLED HDR 4K ULTRA HD SMART T,66,50
SAMSUNG GALAXY TAB S8 TABLET WITH BLUETOOTH S PEN,66,49
SAMSUNG QE65QN94A 2021 NEO QLED HDR 2000 4K ULTRA,65,49
RETAILER LUXURY NATURAL COLLECTION BRIT,65,39
APPLE SMART FOLIO FOR IPAD AIR 2020 DEEP NAVY,65,45
APPLE WATCH NIKE SERIES 6 GPS 40MM SPACE GREY ALUM,64,50
MADE TO MEASURE CURTAINS,62,24
APPLE SMART FOLIO FOR IPAD PRO 11 3RD GENERATION D,62,50
SAMSUNG GALAXY WATCH 4 BLUETOOTH 44MM ALUMINIUM WI,62,50
RETAILER BROOKS SIDE DINING CHAIRS SET,61,38
SAMSUNG GALAXY S21 ULTRA SMARTPHONE,61,35
APPLE IPHONE 12 IOS 6 1 5G SIM FREE 128GB BLUE,61,46
KD65A8,60,6
RETAILER PLATFORM MODULAR 4-SEAT GARDEN,60,39
APPLE STUDIO DISPLAY WITH TILT-ADJUSTABLE STAND ST,59,50
PANASONIC TX-55JZ1000B 2021 OLED HDR 4K ULTRA HD S,59,50
RETAILER 400 THREAD COUNT SOFT SILKY EG,58,39
2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 32GB SPACE G,58,50
INNOVATION LIVING RECAST SOFA BED WITH POCKET SPRU,58,50
APPLE WATCH SERIES 6 GPS CELLULAR 44MM GRAPHITE ST,58,50
RETAILER CROMWELL CHESTERFIELD GRAND 4,58,38
APPLE IPHONE 12 IOS 6 1 5G SIM FREE 128GB BLACK,58,47
SAMSUNG QE65QN800A 2021 NEO QLED HDR 2000 8K ULTRA,58,50
RETAILER CALIA 6-10 SEATER EXTENDING DI,57,39
PANASONIC TX-55JZ1500B 2021 OLED HDR 4K ULTRA HD S,57,50
RETAILER CALIA 6 SEATER DINING TABLE OA,57,39
RETAILER DRAPER LARGE 3 SEATER SOFA,56,35
2021 APPLE IPAD PRO 12 9 M1 PROCESSOR IOS WI-FI 2T,56,50
APPLE SMART FOLIO FOR IPAD AIR 2020 BLACK,55,41
APPLE MAC STUDIO DESKTOP M1 MAX PROCESSOR 32GB RAM,55,50
SAMSUNG GALAXY S20 FE SMARTPHONE WITH WIRELESS POW,55,50
AVF JXPL601 TILTING WALL MOUNT FOR TVS UP TO 65,55,47
SAMSUNG QE75QN85A 2021 NEO QLED HDR 1500 4K ULTRA,54,49
PANASONIC TX-55JZ2000B 2021 OLED HDR 4K ULTRA HD S,53,50
MICROSOFT OFFICE HOME AND STUDENT 2019 1 PC ONE-OF,52,50
APPLE WATCH SERIES 6 GPS CELLULAR 44MM BLUE ALUMIN,51,50
APPLE WATCH NIKE SERIES 6 GPS 44MM SILVER ALUMINIU,51,50
"APPLE MAGIC KEYBOARD FOR 11"" IPAD PRO (2020)",51,44
NORTON 360 PREMIUM 15 MONTHS PRE-PAID SUBSCRIPTION,51,50
RETAILER TORONTO SIDE DINING CHAIRS SET,51,39
RETAILER BARBICAN LARGE 3 SEATER SOFA,50,37
APPLE WATCH SERIES 6 GPS CELLULAR 40MM GOLD STAINL,50,50
SAMSUNG GALAXY WATCH 4 CLASSIC BLUETOOTH 42MM STAI,50,50
"2020 APPLE IPAD 10.2"" 32GB GOLD",49,31
ANYDAY RETAILER ESSENTIALS COLLECTION P,49,39
RETAILER 4K HDMI CABLE 1 5M BLACK,49,33
APPLE MAGSAFE CHARGER FOR IPHONE AND AIRPODS,49,44
SAMSUNG QE55QN85A 2021 NEO QLED HDR 1500 4K ULTRA,49,49
APPLE WATCH NIKE SERIES 6 GPS CELLULAR 44MM SPACE,49,49
APPLE USB SUPERDRIVE CD DVD READER WRITER,48,41
"APPLE MAGIC KEYBOARD FOR 12.9"" IPAD PRO",48,39
APPLE WATCH NIKE SERIES 7 GPS CELLULAR 45MM MIDNIG,48,50
PANASONIC TX-65JZ2000B 2021 OLED HDR 4K ULTRA HD S,47,50
APPLE IPHONE 12 PRO MAX IOS 6 7 5G SIM FREE 128GB,47,49
RETAILER NATURAL DUCK FEATHER AND DOWN,46,38
APPLE WATCH SERIES 7 GPS 45MM PRODUCT RED ALUMINIU,46,50
SAMSUNG QE50QN90A 2021 NEO QLED HDR 1500 4K ULTRA,46,49
SONY BRAVIA KD55X89J 2021 LED HDR 4K ULTRA HD SMAR,46,50
RETAILER ELSTRA MARLOW WARDROBE HANGING,46,39
RETAILER SANSA SPLAYED ARM SOFA BED WIT,45,39
2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 32GB SILVER,45,49
2021 APPLE IPAD PRO 11 M1 PROCESSOR IOS WI-FI 1TB,44,49
ANYDAY RETAILER 200 THREAD COUNT POLYCO,44,39
"APPLE MAGIC KEYBOARD FOR 12.9"" IPAD PRO (2021)",44,46
RETAILER BROOKS FAUX LEATHER SEAT PAD S,44,39
APPLE IPHONE 12 PRO MAX IOS 6 7 5G SIM FREE 256GB,43,49
RETAILER BARBICAN LARGE 3 SEATER LEATHE,43,39
RETAILER LUXURY NATURAL COLLECTION MOHA,43,39
RETAILER CALIA 8-12 SEATER EXTENDING DI,42,39
"2020 APPLE IPAD 10.2"" 128GB SPACE GREY",41,38
2021 APPLE MACBOOK PRO 14 M1 MAX PROCESSOR 32GB RA,41,50
SAMSUNG GALAXY S21 PLUS 5G SMARTPHONE WITH WIRELES,41,50
"2020 APPLE IPAD 10.2"" 128GB GOLD",41,32
SAMSUNG QE65QN700A 2021 NEO QLED HDR 2000 8K ULTRA,41,50
MADE TO MEASURE ROMAN BLIND,41,27
APPLE MAGIC TRACKPAD 2021 SILVER,40,32
OLED55C1,40,8
LG 75NANO866PA 2021 LED HDR NANOCELL 4K ULTRA HD S,40,50
APPLE WATCH SERIES 6 GPS CELLULAR 44MM GOLD STAINL,40,50
HERMAN MILLER AERON OFFICE CHAIR SIZE B GRAPHITE,40,48
SONY BRAVIA XR XR83A90J 2021 OLED HDR 4K ULTRA HD,40,49
2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 32GB GOLD,40,47
APPLE WATCH SERIES 6 GPS CELLULAR 40MM SPACE GREY,40,49
LG OLED77B16LA 2021 OLED HDR 4K ULTRA HD SMART TV,40,49
APPLE AIRTAG BLUETOOTH ITEM FINDER 1 PACK,39,41
RETAILER ROUEN 2 DRAWER STORAGE UPHOLST,38,39
RETAILER CALIA BOOKSHELF OAK,38,28
OLED55GX,38,8
RETAILER PADMA PARQUET BED FRAME KING S,38,39
RETAILER CALIA SOFA SIDE TABLE OAK,38,34
APPLE SMART KEYBOARD FOLIO FOR 12 9 IPAD PRO 2020,38,49
RETAILER SPECIALIST SYNTHETIC WATERPROO,37,39
CYBEX BASE Z I-SIZE ROTATING CAR SEAT BASE BLACK,37,48
RETAILER BARBICAN GRAND 4 SEATER SOFA,37,37
SAMSUNG GALAXY WATCH 4 4G CELLULAR 40MM ALUMINIUM,37,49
APPLE IPHONE 11 PRO,37,19
RETAILER CLASSIC SUSTAINABLE WAITROSE W,37,39
SAMSUNG QE85Q70A 2021 QLED HDR 4K ULTRA HD SMART T,37,50
RETAILER LUXURY NATURAL COLLECTION LINE,37,39
SONY BRAVIA KD75X81J 2021 LED HDR 4K ULTRA HD SMAR,36,50
RETAILER DRAPER MOTION LARGE 3 SEATER S,36,39
APPLE MAGIC KEYBOARD WITH NUMERIC KEYPAD TOUCH ID,36,49
TEMPUR SENSATION ELITE MEMORY FOAM MATTRESS FIRM T,36,50
APPLE WATCH SERIES 6 GPS CELLULAR 44MM SILVER STAI,35,50
RETAILER BAILEY FOOTSTOOL,35,25
RETAILER MARLOW 200CM HINGED DOOR WARDR,35,39
RETAILER HENDRICKS ACCENT CHAIR,35,31
RETAILER CALIA 2-SEATER DINING BENCH OA,35,39
HYPNOS LUXURY WOOL NO 2 PILLOW TOP POCKET SPRING M,35,50
KD65AG9,35,7
OLED65G1,35,8
HYPNOS LUXURY WOOL NO 1 POCKET SPRING MATTRESS MED,35,50
PANASONIC TX-65JZ1000B 2021 OLED HDR 4K ULTRA HD S,35,50
SAMSUNG QE75QN95A 2021 NEO QLED HDR 2000 4K ULTRA,35,49
MAXI-COSI I-SIZE FAMILYFIX 360 ISOFIX ROTATING CAR,34,50
RETAILER NATURAL COLLECTION HUNGARIAN G,34,39
RETAILER SWOON MENDEL TV STAND SIDEBOAR,34,39
PANASONIC TX-48JZ1000B 2021 OLED HDR 4K ULTRA HD S,34,50
APPLE WATCH SERIES 7 GPS CELLULAR 45MM GREEN ALUMI,34,50
LG 65NANO916PA 2021 LED HDR NANOCELL 4K ULTRA HD S,34,50
RETAILER NATURAL COLLECTION SWALEDALE W,33,39
RETAILER CAMDEN STORAGE FOOTSTOOL,33,33
LOGITECH SLIM COMBO FOLIO TOUCH BACKLIT KEYBOARD W,33,50
USB-C TO SD CARD READER,33,23
MICROSOFT 365 FAMILY OFFICE SOFTWARE FOR UP TO 6 P,33,50
APPLE WATCH SERIES 6 GPS 44MM SILVER ALUMINIUM CAS,33,50
2020 APPLE IMAC 21.5 ALL-IN-ONE,33,31
SAMSUNG QE55QN700A 2021 NEO QLED HDR 2000 8K ULTRA,33,50
RETAILER MARLOW 3 DRAWER BEDSIDE TABLE,33,38
SAMSUNG QE75QN800A 2021 NEO QLED HDR 2000 8K ULTRA,33,50
APPLE WATCH SERIES 6 GPS CELLULAR 40MM SILVER ALUM,32,50
RETAILER SPECIALIST TEMPERATURE BALANCI,32,39
SONY BRAVIA XR XR75X95J 2021 LED HDR 4K ULTRA HD S,32,50
SAMSUNG GALAXY S22 ULTRA 5G SMARTPHONE WITH WIRELE,32,50
SAMSUNG QE75QN94A 2021 NEO QLED HDR 2000 4K ULTRA,32,49
RETAILER BARBICAN RECTANGULAR FOOTSTOOL,32,39
APPLE USB-C TO 3 5MM AUDIO JACK HEADPHONES ADAPTER,31,50
ANYDAY RETAILER QUILTED MICROFIBRE MATT,31,39
RETAILER 400 THREAD COUNT CRISP FRESH E,31,39
MAXI-COSI PEBBLE 360 I-SIZE BABY CAR SEAT ESSENTIA,31,50
DYSON CORRALE CORD-FREE HAIR STRAIGHTENERS FUCHSIA,31,50
SAMSUNG QE75QN700A 2021 NEO QLED HDR 2000 8K ULTRA,31,50
RETAILER CALIA 8 SEATER DINING TABLE OA,31,39
2020 APPLE IPAD PRO 12 9 A12Z BIONIC IOS WI-FI 512,31,50
CUSTOMISABLE MODERN FRAME BEZEL FOR SAMSUNG THE FR,30,50
2019 APPLE AIRPODS WITH WIRELESS CHARGING CASE,30,46
XR65A90J,29,8
OLED65GX,29,8
RETAILER CLASSIC COLLECTION ORTHO SUPPO,29,39
BUGABOO DONKEY3 DUO PUSHCHAIR AND CARRYCOT ALUMINI,29,50
TEMPUR WATER RESISTANT MATTRESS PROTECTOR WHITE DE,29,50
GOOGLE NEST MINI HANDS-FREE SMART SPEAKER 2ND GEN,29,49
APPLE MJ1L2ZM A USB-C VGA MULTIPORT ADAPTOR,29,43
ANYDAY RETAILER BONN UPHOLSTERED BED FR,29,39
HALO EARLE CHESTERFIELD LARGE 3 SEATER LEATHER SOF,29,50
LG 55NANO966PA 2021 LED HDR NANOCELL 8K ULTRA HD S,29,50
HALO EARLE CHESTERFIELD MEDIUM 2 SEATER LEATHER SO,29,50
APPLE WATCH SERIES 7 GPS 41MM PRODUCT RED ALUMINIU,29,50
LG OLED42C24LA 2022 OLED HDR 4K ULTRA HD SMART TV,29,49
HERMAN MILLER AERON OFFICE CHAIR SIZE C GRAPHITE,28,48
RETAILER CALIA TV STAND FOR TVS UP TO 6,28,39
APPLE WATCH NIKE SERIES 7 GPS CELLULAR 41MM MIDNIG,28,50
RETAILER CHUNKY WEAVE 5-SEATER GARDEN C,28,39
2020 APPLE IPAD PRO 11 A12Z BIONIC IOS WI-FI CELLU,28,50
LG OLED77CX6LA 2020 OLED HDR 4K ULTRA HD SMART TV,28,49
RETAILER CROMWELL CHESTERFIELD SMALL 2,28,38
APPLE IPHONE 12 IOS 6 1 5G SIM FREE 128GB WHITE,28,47
RETAILER RATTAN BED FRAME KING SIZE OAK,28,39
APPLE WATCH SERIES 6 GPS CELLULAR 40MM SILVER STAI,27,50
RETAILER CAMDEN 5 SEATER LHF CORNER END,27,39
RETAILER PADMA 1 DOOR PARQUET BEDSIDE T,27,39
RETAILER CLASSIC COLLECTION COMFORT SUP,27,39
TEMPUR HYBRID ELITE POCKET SPRING MEMORY FOAM MATT,27,50
TEMPUR ORIGINAL ELITE MEMORY FOAM MATTRESS MEDIUM,27,49
"2021 APPLE IMAC 23.5"" ALL-IN-ONE",26,32
2020 APPLE IPAD 10 2 A12 IPADOS WI-FI 128GB GOLD,26,48
APPLE WATCH SERIES 6 GPS CELLULAR 40MM BLUE ALUMIN,26,50
LG OLED77A16LA 2021 OLED HDR 4K ULTRA HD SMART TV,26,49
APPLE MAGIC MOUSE 2022 BLACK,26,28
APPLE WATCH SERIES 7 GPS CELLULAR 41MM BLUE ALUMIN,25,50
RETAILER DUHRER 4-6 SEATER EXTENDING RO,25,39
RETAILER MARLOW 300CM HINGED DOOR WARDR,25,39
INNOVATION LIVING CUBED 140 SOFA BED TWIST GRANITE,25,50
APPLE SMART COVER FOR 10 2 IPAD AND 10 5 IPAD AIR,25,49
APPLE SMART FOLIO FOR IPAD PRO 11 3RD GENERATION M,25,50
OYSTER 3 LUXURY 7 PIECE PUSHCHAIR AND CARRYCOT BUN,25,50
APPLE WATCH NIKE SERIES 6 GPS 40MM SILVER ALUMINIU,24,50
"APPLE MAGIC KEYBOARD FOR 11"" IPAD PRO (2021)",24,44
KETTLER PALMA 5-SEATER GARDEN LOW LOUNGING TABLE C,24,50
APPLE USB-C TO LIGHTNING CABLE 2M,24,33
HALO GROUCHO MEDIUM 2 SEATER LEATHER SOFA RIDERS N,24,50
EBBE GEHL FOR RETAILER MIRA 3 SEATER DINING BENC,24,48
TARGUS CLICK-IN CASE FOR IPAD AIR 10 9 AND IPAD PR,24,50
SONY BRAVIA KD75X89J 2021 LED HDR 4K ULTRA HD SMAR,24,50
SAMSUNG QE65Q65A 2021 QLED HDR 4K ULTRA HD SMART T,24,50
APPLE IPHONE 12 IOS 6 1 5G SIM FREE 64GB BLUE,24,45
BUGABOO DONKEY3 DUO PUSHCHAIR AND CARRYCOT BLACK,24,48
EGG2 SPECIAL EDITION PUSHCHAIR LUXURY TRAVEL SYSTE,24,50
